query,function_call
Mình muốn biết tình hình hiệu suất tháng 5 năm nay.,"get(departments='finance', content='performance', id='performance_549', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xóa chấm công.,"delete(departments='employee', content='attendance', id='attendance_525', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các nhân viên này nhé hôm qua.,"compare(departments='employee', content='employee', id='employee_536', type_of_time='day', specific_time='2024-12-01')"
Bạn có thể dự đoán báo cáo giúp tôi không? hai tuần qua.,"predict(departments='employee', content='report', id='report_897', type_of_time='range', specific_time='2025-06-06 to 2025-06-25')"
Làm ơn thêm một chấm công mới giúp tôi.,"add(departments='accountant', content='attendance', id='attendance_116', type_of_time='year', specific_time='2025-01-01')"
Cho tôi biết về báo cáo được không? ngày 1 tháng 6.,"get(departments='finance', content='report', id='report_479', type_of_time='day', specific_time='2025-04-12')"
Tôi muốn xóa báo cáo.,"delete(departments='accountant', content='report', id='report_910', type_of_time='day', specific_time='2024-10-05')"
So sánh các báo cáo giúp tôi với năm tới.,"compare(departments='employee', content='report', id='report_757', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết dự báo về nhân viên năm tới.,"predict(departments='hr', content='employee', id='employee_602', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký nghỉ phép.,"add(departments='accountant', content='leave_request', id='leave_request_369', type_of_time='range', specific_time='2025-05-23 to 2025-06-16')"
Tôi cần tra cứu dự án hai tuần qua.,"get(departments='hr', content='project', id='project_993', type_of_time='range', specific_time='2025-06-08 to 2025-06-09')"
Tôi muốn xóa hiệu suất.,"delete(departments='accountant', content='performance', id='performance_334', type_of_time='month', specific_time='2025-06-01')"
Bạn giúp tôi so sánh các dự án này nhé ngày 15 tháng 5.,"compare(departments='employee', content='project', id='project_70', type_of_time='day', specific_time='2025-03-06')"
Cho tôi dự đoán về hiệu suất tháng 12 năm ngoái.,"predict(departments='finance', content='performance', id='performance_177', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm chấm công.,"add(departments='hr', content='attendance', id='attendance_376', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi nghỉ phép nhé ngày 1 tháng 6.,"get(departments='finance', content='leave_request', id='leave_request_364', type_of_time='day', specific_time='2024-10-18')"
Tôi muốn xóa báo cáo.,"delete(departments='hr', content='report', id='report_18', type_of_time='range', specific_time='2025-05-14 to 2025-05-15')"
Mình cần so sánh tình trạng chấm công tháng trước.,"compare(departments='accountant', content='attendance', id='attendance_627', type_of_time='month', specific_time='2025-06-01')"
Mình cần ước tính nhiệm vụ trong thời gian tới tháng trước.,"predict(departments='finance', content='task', id='task_387', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đăng ký nhân viên.,"add(departments='finance', content='employee', id='employee_164', type_of_time='range', specific_time='2025-05-23 to 2025-05-24')"
Cho tôi biết về nhiệm vụ được không? năm 2024.,"get(departments='accountant', content='task', id='task_693', type_of_time='year', specific_time='2025-01-01')"
Mình muốn loại bỏ hiệu suất khỏi hệ thống.,"delete(departments='accountant', content='performance', id='performance_159', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu hóa đơn năm 2024.,"compare(departments='hr', content='invoice', id='invoice_548', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết dự báo về hóa đơn năm 2024.,"predict(departments='finance', content='invoice', id='invoice_13', type_of_time='year', specific_time='2025-01-01')"
Mình cần tạo mới một nhiệm vụ.,"add(departments='manager', content='task', id='task_414', type_of_time='range', specific_time='2025-06-05 to 2025-06-25')"
Tôi cần tra cứu hóa đơn tháng 12 năm ngoái.,"get(departments='accountant', content='invoice', id='invoice_263', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa báo cáo giùm tôi không?,"delete(departments='finance', content='report', id='report_334', type_of_time='month', specific_time='2025-06-01')"
So sánh các nhiệm vụ giúp tôi với năm ngoái.,"compare(departments='accountant', content='task', id='task_518', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể dự đoán nhiệm vụ giúp tôi không? hôm qua.,"predict(departments='finance', content='task', id='task_701', type_of_time='day', specific_time='2024-10-07')"
Tôi muốn thêm nhiệm vụ.,"add(departments='finance', content='task', id='task_266', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xem thông tin nghỉ phép hôm qua.,"get(departments='employee', content='leave_request', id='leave_request_251', type_of_time='day', specific_time='2025-02-22')"
Bạn có thể xóa hiệu suất giùm tôi không?,"delete(departments='finance', content='performance', id='performance_424', type_of_time='month', specific_time='2025-06-01')"
So sánh các dự án giúp tôi với năm ngoái.,"compare(departments='finance', content='project', id='project_987', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết dự báo về hóa đơn ba tháng gần đây.,"predict(departments='accountant', content='invoice', id='invoice_445', type_of_time='range', specific_time='2025-06-06 to 2025-06-25')"
Tôi muốn đăng ký hóa đơn.,"add(departments='finance', content='invoice', id='invoice_801', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu nhiệm vụ hai tuần qua.,"get(departments='manager', content='task', id='task_421', type_of_time='range', specific_time='2025-06-09 to 2025-06-21')"
Mình muốn loại bỏ hóa đơn khỏi hệ thống.,"delete(departments='manager', content='invoice', id='invoice_396', type_of_time='year', specific_time='2025-01-01')"
So sánh các dự án giúp tôi với tháng này.,"compare(departments='employee', content='project', id='project_616', type_of_time='month', specific_time='2025-06-01')"
Cho tôi dự đoán về hiệu suất tháng 6.,"predict(departments='manager', content='performance', id='performance_45', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đăng ký hóa đơn.,"add(departments='finance', content='invoice', id='invoice_222', type_of_time='range', specific_time='2025-05-12 to 2025-05-25')"
Tôi cần tra cứu nhiệm vụ tháng trước.,"get(departments='finance', content='task', id='task_577', type_of_time='month', specific_time='2025-06-01')"
Làm ơn gỡ bỏ dự án này giúp tôi.,"delete(departments='hr', content='project', id='project_630', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đối chiếu nhiệm vụ năm 2025.,"compare(departments='accountant', content='task', id='task_14', type_of_time='year', specific_time='2025-01-01')"
Mình cần ước tính chấm công trong thời gian tới trong quý trước.,"predict(departments='accountant', content='attendance', id='attendance_563', type_of_time='range', specific_time='2025-05-23 to 2025-06-15')"
Làm ơn thêm một nhân viên mới giúp tôi.,"add(departments='finance', content='employee', id='employee_733', type_of_time='month', specific_time='2025-06-01')"
Cho tôi biết về nghỉ phép được không? tháng này.,"get(departments='manager', content='leave_request', id='leave_request_624', type_of_time='month', specific_time='2025-06-01')"
Mình muốn loại bỏ nghỉ phép khỏi hệ thống.,"delete(departments='accountant', content='leave_request', id='leave_request_541', type_of_time='range', specific_time='2025-06-08 to 2025-06-11')"
Tôi muốn biết sự khác biệt giữa các dự án tháng 5 năm nay.,"compare(departments='manager', content='project', id='project_438', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán nhiệm vụ giúp tôi không? ngày 1 tháng 6.,"predict(departments='finance', content='task', id='task_730', type_of_time='day', specific_time='2024-08-07')"
Bạn có thể giúp tôi thêm nhân viên không?,"add(departments='accountant', content='employee', id='employee_948', type_of_time='month', specific_time='2025-06-01')"
Cho tôi biết về báo cáo được không? tháng 6.,"get(departments='manager', content='report', id='report_469', type_of_time='month', specific_time='2025-06-01')"
Làm ơn gỡ bỏ nhiệm vụ này giúp tôi.,"delete(departments='manager', content='task', id='task_834', type_of_time='month', specific_time='2025-06-01')"
So sánh các nghỉ phép giúp tôi với tháng 6.,"compare(departments='finance', content='leave_request', id='leave_request_411', type_of_time='month', specific_time='2025-06-01')"
Cho tôi dự đoán về nhiệm vụ tháng này.,"predict(departments='employee', content='task', id='task_344', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể giúp tôi thêm dự án không?,"add(departments='manager', content='project', id='project_296', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi dự án nhé từ đầu tháng đến nay.,"get(departments='finance', content='project', id='project_118', type_of_time='range', specific_time='2025-05-16 to 2025-06-06')"
Bạn có thể xóa nghỉ phép giùm tôi không?,"delete(departments='manager', content='leave_request', id='leave_request_294', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu báo cáo hôm qua.,"compare(departments='employee', content='report', id='report_660', type_of_time='day', specific_time='2025-01-21')"
Cho tôi dự đoán về nhân viên ngày 15 tháng 5.,"predict(departments='manager', content='employee', id='employee_872', type_of_time='day', specific_time='2024-12-17')"
Tôi muốn thêm dự án.,"add(departments='manager', content='project', id='project_91', type_of_time='year', specific_time='2025-01-01')"
Cho tôi biết về hóa đơn được không? từ đầu tháng đến nay.,"get(departments='employee', content='invoice', id='invoice_566', type_of_time='range', specific_time='2025-05-12 to 2025-06-07')"
